ID;Nome;Categoria;Preço;Quantidade em Estoque;Descrição
22;Luminária de Mesa;Móveis;49.99;20;Luminária ajustável com base de metal e luz LED.
23;"Tablet 10""";Eletrônicos;249.99;25;"Tablet com tela de 10"", 64GB de armazenamento e Wi-Fi."
24;Lava-Roupas;Eletrodomésticos;699.99;10;Lava-roupas com capacidade de 8kg e 15 programas de lavagem.
25;Guarda-Roupa 6 Portas;Móveis;499.99;8;Guarda-roupa grande com espelho e gavetas.
26;Caneca de Cerâmica;Acessórios;19.99;100;Caneca de cerâmica com capacidade de 350ml.
27;Escova de Dentes Elétrica;Eletrodomésticos;29.99;55;Escova com temporizador e múltiplas cabeças intercambiáveis.
28;Tênis Casual;Vestuário;69.99;80;Tênis casual para uso diário com design moderno.
29;Jaqueta de Couro;Vestuário;199.99;22;Jaqueta de couro genuíno com forro interno acolchoado.
30;Bolsa de Viagem;Acessórios;149.99;18;Bolsa de viagem com compartimentos internos e rodas.
31;Sofá Cama;Móveis;349.99;5;Sofá que se transforma em cama com estrutura de metal.
32;Armário de Cozinha;Móveis;299.99;14;Armário modular para armazenamento de utensílios de cozinha.
33;Panela de Pressão;Eletrodomésticos;79.99;30;Panela de pressão com capacidade de 6 litros e tampa de segurança.
34;Micro-ondas;Eletrodomésticos;119.99;25;Micro-ondas com 20L de capacidade e funções automáticas.
35;Relógio de Parede;Acessórios;39.99;40;Relógio de parede com design clássico e números grandes.
36;Cadeira de Jantar;Móveis;89.99;20;Cadeira de jantar com estofamento em tecido e estrutura de madeira.
37;Capa para Sofá;Móveis;49.99;35;Capa de sofá elástica para proteger e renovar o visual.
38;Leitor de Livros Digitais;Eletrônicos;119.99;22;"Leitor de e-books com tela de 6"" e iluminação embutida."
39;Fogão 4 Bocas;Eletrodomésticos;199.99;18;Fogão a gás com 4 bocas e acendimento automático.
40;Roteador Wi-Fi;Eletrônicos;89.99;60;Roteador com suporte para dual band e alta velocidade.
41;Travesseiro Espuma;Móveis;29.99;40;Travesseiro ortopédico de espuma com contorno anatômico.
42;Abajur de Mesa;Móveis;39.99;30;Abajur compacto com base de cerâmica e luz regulável.
43;Óculos de Sol;Acessórios;69.99;50;Óculos de sol com proteção UV e design moderno.
44;Geladeira Duplex;Eletrodomésticos;749.99;8;Geladeira duplex com compartimento freezer e tecnologia Frost Free.
45;Cafeteira Expresso;Eletrodomésticos;129.99;20;Cafeteira expresso com funções de cappuccino e mocha.
46;Tapete de Sala;Móveis;89.99;25;Tapete para sala com design moderno e antialérgico.
47;Caixa de Som Portátil;Eletrônicos;119.99;30;Caixa de som Bluetooth com autonomia de 12 horas.
48;Roupas de Cama;Móveis;59.99;45;Conjunto de roupas de cama com 2 fronhas e 1 lençol.
49;Conjunto de Panelas;Eletrodomésticos;99.99;50;Conjunto com 5 panelas de aço inoxidável e tampa de vidro.
50;Estante de Livros;Móveis;149.99;15;Estante modular com prateleiras ajustáveis.
51;Blu-ray Player;Eletrônicos;129.99;12;Reprodutor Blu-ray com função de upscaling para 4K.
52;Ventilador de Parede;Eletrodomésticos;79.99;35;Ventilador de parede com 3 velocidades e controle remoto.
53;Cabide de Roupas;Móveis;19.99;100;Cabide de madeira com acabamento liso e gancho metálico.
54;Tábua de Passar;Eletrodomésticos;29.99;40;Tábua de passar roupas com ajuste de altura e base estável.
55;Cadeira de Madeira;Móveis;69.99;25;Cadeira de madeira maciça com assento estofado.
56;Garrafa Térmica;Acessórios;29.99;55;Garrafa térmica com capacidade de 1 litro e isolamento a vácuo.
57;Maquina de Café;Eletrodomésticos;99.99;22;Máquina de café com moedor integrado e funções programáveis.
58;Armário de Escritório;Móveis;199.99;10;Armário de escritório com portas de correr e prateleiras.
59;Vaso de Flores;Móveis;39.99;40;Vaso decorativo de cerâmica para arranjos florais.
60;Livro de Ficção;Livros;39.99;30;Romance com enredo envolvente e crítica positiva.
61;Escova de Cabelo;Acessórios;14.99;75;Escova de cabelo com cerdas antiestáticas e formato ergonômico.
62;Balança Digital;Eletrodomésticos;39.99;20;Balança digital com medidor de gordura e interface LCD.
63;Sofá Modular;Móveis;799.99;6;Sofá modular com assentos removíveis e capas laváveis.
64;Pipoqueira Elétrica;Eletrodomésticos;59.99;25;Pipoqueira com capacidade para 2L e sistema de ar quente.
65;Conjunto de Talheres;Eletrodomésticos;29.99;40;Conjunto de talheres de inox com 24 peças.
66;Tábua de Corte;Eletrodomésticos;14.99;60;Tábua de corte em bambu com base antiderrapante.
67;Panela de Arroz;Eletrodomésticos;69.99;30;Panela elétrica de arroz com capacidade de 1.8L e função de manter aquecido.
68;Kit de Maquiagem;Acessórios;89.99;35;Kit com itens essenciais para maquiagem, incluindo pinceis e batons.
69;Penteadeira;Móveis;199.99;15;Penteadeira com espelho e gavetas para acessórios de beleza.
70;Secador de Cabelo;Eletrodomésticos;49.99;50;Secador com 3 temperaturas e 2 velocidades, além de difusor.
71;Tapete de Cozinha;Móveis;29.99;60;Tapete antiderrapante para cozinha com design colorido.
72;Caixa Organizadora;Móveis;19.99;100;Caixa plástica empilhável para organização de objetos.
73;Cortina de Sala;Móveis;49.99;40;Cortina com tecido leve e estampa moderna.
74;Bolsa de Couro;Acessórios;199.99;12;Bolsa de couro legítimo com alças ajustáveis e compartimentos internos.
75;Mochila de Nylon;Acessórios;59.99;45;Mochila resistente em nylon com vários compartimentos.
76;Mesa de Jantar;Móveis;399.99;8;Mesa de jantar para 6 pessoas com acabamento em vidro.
77;Lixeira de Inox;Eletrodomésticos;69.99;20;Lixeira com tampa e pedal em aço inoxidável.
78;Almofada Decorativa;Móveis;29.99;50;Almofada com capa removível e estampas variadas.
79;Conjunto de Canelas;Eletrodomésticos;119.99;25;Conjunto de canecas térmicas com capacidade de 400ml.
80;Fritadeira Sem Óleo;Eletrodomésticos;149.99;15;Fritadeira com tecnologia de circulação de ar quente.
81;Conjunto de Ferramentas;Eletrodomésticos;89.99;20;Kit com 50 ferramentas variadas para manutenção e reparos.
82;Bolsa de Mão;Acessórios;79.99;40;Bolsa de mão em tecido resistente com alças de couro.
83;Termômetro Digital;Eletrodomésticos;19.99;55;Termômetro com display digital e medição rápida.
84;Relógio de Parede Grande;Acessórios;59.99;15;Relógio de parede grande com números em relevo.
85;Espremedor de Frutas;Eletrodomésticos;49.99;30;Espremedor elétrico com capacidade para grandes quantidades.
86;Painel de Fotos;Móveis;39.99;25;Painel para exibir fotos com moldura em madeira.
87;Tábua de Corte Grande;Eletrodomésticos;24.99;40;Tábua de corte em bambu com ranhuras para líquidos.
88;Carrinho de Bebê;Móveis;299.99;10;Carrinho de bebê com reclinação e estrutura dobrável.
89;Faca de Chef;Eletrodomésticos;79.99;35;Faca de chef de aço inox com lâmina de 20cm.
90;Grampo de Escritório;Acessórios;9.99;80;Grampo metálico para escritório, pacotes com 100 unidades.
91;Frigideira Antiaderente;Eletrodomésticos;59.99;20;Frigideira com revestimento antiaderente e cabo ergonômico.
92;Agenda de Couro;Acessórios;49.99;25;Agenda anual com capa de couro e folhas decoradas.
93;Rádio Portátil;Eletrônicos;39.99;30;Rádio AM/FM portátil com bateria recarregável.
94;Computador Desktop;Eletrônicos;799.99;10;Computador desktop com processador i5 e 8GB de RAM.
95;Jogo de Chá;Eletrodomésticos;79.99;15;Conjunto de chá com bule, xícaras e pires em porcelana.
96;Carrinho de Compras;Acessórios;89.99;20;Carrinho dobrável para compras com estrutura de alumínio.
